longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,total_rooms_per_person,bedrooms_per_room,income_per_person,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,total_bedrooms_na,bedrooms_per_room_na
0.7270916334661361,0.00425079702444231,0.411764705882353,0.5325119222271676,0.061762880198634386,0.43007606146565036,0.42927344931255146,0.2518516985972607,0.02437865450180076,0.09989951874768628,0.0022575736544069203,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6354581673306772,0.14665249734325236,0.6078431372549019,0.5688900595631894,0.061607697082557415,0.4063354778100322,0.4504574638570477,0.36411221914180497,0.036458910904642185,0.05767599660729432,0.003802678934699669,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24999999999999822,0.6493092454835283,0.5490196078431372,0.6017028876854414,0.08488516449410304,0.43033704993994837,0.48381733763920404,0.2654308216438394,0.03675524343599711,0.08114935269971581,0.0023629121264860686,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.871513944223107,0.07013815090329478,0.7058823529411764,0.37897367557649836,0.028864059590316574,0.2713259526458724,0.3064290987214881,0.13456366119088015,0.032770398508562205,0.18194640338504936,0.0053846972928699105,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.19123505976095423,0.5579171094580229,0.47058823529411764,0.49363468940447774,0.06098696461824953,0.3238807586736335,0.43233867282261507,0.31068536985696754,0.04552799357314817,0.15631575375008488,0.006621359721751625,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.20517928286852438,0.5642933049946866,0.9999999999999999,0.3321776824936159,0.01831160769708256,0.21867292789465198,0.27437241028325504,0.14263941187018114,0.03947389843295982,0.16608432331702772,0.010148043739295258,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.22709163346613614,0.5356004250797022,0.29411764705882354,0.4907506732591007,0.03708876474239603,0.3874460970404755,0.3844451704081907,0.38387056730251995,0.02588498206955537,0.054932890549328886,0.004644380026732892,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5896414342629477,0.17321997874601536,0.7058823529411764,0.5232196811554638,0.051210428305400374,0.3465292453016987,0.41689918100982154,0.3743120784540903,0.045054914836226666,0.07444780805022984,0.006407848729344,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24501992031872355,0.5462274176408073,0.21568627450980393,0.7708399161959468,0.1871508379888268,0.5432147050305498,0.6132368659054612,0.4025737576033434,0.0405941198195756,0.06794244177421747,0.0015874392156594434,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.599601593625497,0.14133900106269914,0.8431372549019608,0.3815713692959592,0.020484171322160148,0.2670253769768926,0.2990498515813938,0.23563812912925342,0.03499937732341126,0.09300184162062615,0.009038477078810407,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.239043824701195,0.5111583421891606,0.8039215686274509,0.47259789080238557,0.0510552451893234,0.32556007986260244,0.40095342178238896,0.1954042013213611,0.038898389006306135,0.14692313707092036,0.004321451627391252,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41235059760956183,0.4718384697130711,0.39215686274509803,0.49638636347273424,0.04686530105524519,0.35594047578731286,0.388356678857533,0.14491524254837868,0.034910667787480316,0.09084849696727322,0.0025559702719853473,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.702191235059761,0.16896918172157305,0.9999999999999999,0.5131574838232807,0.0611421477343265,0.36987538261071046,0.4139871482116508,0.04851657218521124,0.034626929160197745,0.12497758651604805,0.0010149887050945224,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.20517928286852438,0.5600425079702447,0.37254901960784315,0.39962091371824726,0.024829298572315334,0.24358516112529005,0.2990498515813938,0.13676363084647108,0.05199321189113173,0.10312707917498336,0.007358378355893178,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6384462151394423,0.17109458023379398,0.6274509803921569,0.4032806459568886,0.02219118559900683,0.2788146456309122,0.30319442917440953,0.27463069474903795,0.036798955628239614,0.07515198551287026,0.009164828616308162,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.2041832669322705,0.5345377258235922,0.6862745098039215,0.5546212361887076,0.06750465549348231,0.39530288555472265,0.4412487414204141,0.29598212438449123,0.036494124350112574,0.09023736953911517,0.003430387837396014,0.0,0.0,0.0,1.0,0.0,0.0,0.0
